x_ethanol,y_ethanol,T_bubble_C
0.000000,0.000000,99.9968
0.050000,0.105457,98.3272
0.100000,0.199577,96.7575
0.150000,0.284031,95.2773
0.200000,0.360183,93.8780
0.250000,0.429157,92.5519
0.300000,0.491888,91.2923
0.350000,0.549158,90.0934
0.400000,0.601626,88.9501
0.450000,0.649850,87.8580
0.500000,0.694309,86.8129
0.550000,0.735412,85.8113
0.600000,0.773513,84.8501
0.650000,0.808916,83.9263
0.700000,0.841890,83.0373
0.750000,0.872668,82.1809
0.800000,0.901454,81.3550
0.850000,0.928429,80.5575
0.900000,0.953753,79.7867
0.950000,0.977568,79.0411
1.000000,1.000000,78.3192
